isShowcaseListing,longitude,timeOnZillow,zestimate,daysOnZillow,zpid,taxAssessedValue,isUnmappable,priceForHDP,dateSold,state,isFeatured,isPremierBuilder,isPreforeclosureAuction,lotAreaValue,isNonOwnerOccupied,homeStatus,latitude,lotAreaUnit,bedrooms,zipcode,homeStatusForHDP,isZillowOwned,shouldHighlight,homeType,bathrooms,rentZestimate,price,city,streetAddress,country,currency,listing_sub_type,livingArea
False,-77.33963554784467,48734962000.0,,564,2064286500,,False,0,1663225200000,ON,False,False,False,,True,RECENTLY_SOLD,44.169648458109535,,2.0,K8N5R7,RECENTLY_SOLD,False,False,APARTMENT,1.0,,0,Belleville,175 Haig Rd #113,CAN,CAD,{},750.0
False,-79.361361,48734962000.0,,564,2070888533,,False,1243500,1663225200000,ON,False,False,False,,True,RECENTLY_SOLD,43.645303,,2.0,M5A0L3,RECENTLY_SOLD,False,False,APARTMENT,3.5,,1243500,Toronto,118 Merchants Wharf,CAN,CAD,{},1215.0
False,-79.74537,49944562000.0,,578,2061873034,,False,0,1662015600000,ON,False,False,False,,True,RECENTLY_SOLD,44.799391,,2.0,L0K1S0,RECENTLY_SOLD,False,False,APARTMENT,1.5,,0,Georgian Bay,4 Carnoustie Ln,CAN,CAD,{},1074.0
False,-79.6307028,50549362000.0,,585,2062371084,,False,825000,1661410800000,ON,False,False,False,,True,RECENTLY_SOLD,43.5143965,,4.0,L5J4J9,RECENTLY_SOLD,False,False,APARTMENT,4.0,,825000,Mississauga,1180 Walden Cir #34,CAN,CAD,{},1541.0
False,-79.25907762947774,52363762000.0,,606,2062598177,,False,999000,1659596400000,ON,False,False,False,,True,RECENTLY_SOLD,43.762186414582786,,2.0,M1P3X8,RECENTLY_SOLD,False,False,APARTMENT,1.0,,999000,Toronto,5 Applefield Dr,CAN,CAD,{},
False,-79.2812115,54523762000.0,,631,2062861015,,False,540000,1657436400000,ON,False,False,False,,True,RECENTLY_SOLD,43.7774165,,1.0,M1S0G3,RECENTLY_SOLD,False,False,APARTMENT,1.0,,540000,Toronto,125 Village Green Sq #1806,CAN,CAD,{},600.0
False,-79.32569825093917,54782962000.0,,634,2062115147,,False,1250000,1657177200000,ON,False,False,False,4447.0,True,RECENTLY_SOLD,43.80907015466255,sqft,2.0,M1W2W8,RECENTLY_SOLD,False,False,APARTMENT,1.0,,1250000,Toronto,3 Mossbrook Cres,CAN,CAD,{},
False,-78.37083,56683762000.0,,656,2077431516,,False,0,1655276400000,ON,False,False,False,,True,RECENTLY_SOLD,44.304721,,2.0,K9J0H8,RECENTLY_SOLD,False,False,APARTMENT,2.0,,0,Peterborough,344 Florence Dr,CAN,CAD,{},900.0
False,-79.77564771290322,57893362000.0,,670,2065884452,,False,2650,1654066800000,ON,False,False,False,,True,RECENTLY_SOLD,43.43479866451613,,2.0,L6M0Y5,RECENTLY_SOLD,False,False,APARTMENT,2.0,,2650,Oakville,2490 Old Bronte Rd #724,CAN,CAD,{},
False,-79.44338538819332,57979762000.0,,671,2064082946,,False,0,1653980400000,ON,False,False,False,,True,RECENTLY_SOLD,43.79387455,,2.0,L4J8G4,RECENTLY_SOLD,False,False,APARTMENT,2.0,,0,Vaughan,11 Townsgate Dr #1502,CAN,CAD,{},
False,-79.404734,59275762000.0,,686,2080848207,,False,645000,1652684400000,ON,False,False,False,,True,RECENTLY_SOLD,43.685682,,2.0,M4V1R4,RECENTLY_SOLD,False,False,APARTMENT,2.0,,645000,Toronto,223 Saint Clair Ave W,CAN,CAD,{},
False,-79.361178,59707762000.0,,691,2065622840,,False,902800,1652252400000,ON,False,False,False,,True,RECENTLY_SOLD,43.659404,,2.0,M5A0C2,RECENTLY_SOLD,False,False,APARTMENT,2.0,,902800,Toronto,55 Regent Park Blvd #2402,CAN,CAD,{},
False,-79.36526524579524,61003762000.0,,706,2066397348,,False,730000,1650956400000,ON,False,False,False,,True,RECENTLY_SOLD,43.6497947,,1.0,M5A4M8,RECENTLY_SOLD,False,False,APARTMENT,1.0,,730000,Toronto,222 The Esplanade #1224,CAN,CAD,{},
False,-79.38171,62213362000.0,,720,2066521681,,False,1300000,1649746800000,ON,False,False,False,,True,RECENTLY_SOLD,43.64877,,2.0,M5R0C1,RECENTLY_SOLD,False,False,APARTMENT,2.0,,1300000,Toronto,175 Pears Ave #TOWNHOUSE,CAN,CAD,{},1100.0
False,-79.3521684,62818162000.0,,727,2064289146,,False,1700000,1649142000000,ON,False,False,False,,True,RECENTLY_SOLD,43.6956285,,3.0,M4K3M9,RECENTLY_SOLD,False,False,APARTMENT,1.0,,1700000,Toronto,81 Hopedale Ave,CAN,CAD,{},
